 index ,        artists         ,           id           , marketsize 
     0 , 3CjlHNtplJyTf9npxaPl5w , 6TEN694l8ifhIRfknsG8DX ,         10 , Every Open Eye
     1 , 3CjlHNtplJyTf9npxaPl5w , 1icGjif3DwL3PGKrKfuYh1 ,          3 , Every Open Eye
     2 , 3CjlHNtplJyTf9npxaPl5w , 2Zks3PkvBH0Kl2W1X67VHT ,         15 , Every Open Eye
     3 , 3CjlHNtplJyTf9npxaPl5w , 7IuEdviBeNzrMUE0InVimK ,         25 , Every Open Eye
     4 , 3CjlHNtplJyTf9npxaPl5w , 6nsk6T7ceOvkBbro8agEv7 ,          2 , Every Open Eye
     5 , 3CjlHNtplJyTf9npxaPl5w , 0WWiyCTbLa7yJ0XsRSLCO2 ,          3 , Every Open Eye (Special Edition)
     6 , 3CjlHNtplJyTf9npxaPl5w , 4E61vCQ3Ty0er5FmJF68tQ ,         15 , Every Open Eye (Special Edition)
     7 , 3CjlHNtplJyTf9npxaPl5w , 6qRpXui3PWubskblkUNUls ,          3 , Every Open Eye (Special Edition)
     8 , 3CjlHNtplJyTf9npxaPl5w , 2UGwrHVjQHpoNBO15b3JZI ,         10 , Every Open Eye (Special Edition)
     9 , 3CjlHNtplJyTf9npxaPl5w , 08dIf2VIl0WcdvVWGSeKyB ,         26 , Every Open Eye (Special Edition)
    10 , 3CjlHNtplJyTf9npxaPl5w , 6Mj9SJrXbAjQgYaiSEiSis ,          2 , Every Open Eye (Special Edition)
    11 , 3CjlHNtplJyTf9npxaPl5w , 0cb7edKSzeGxNwY5WNqcSy ,          6 , The Bones Of What You Believe (Asia Deluxe Edition)
    12 , 3CjlHNtplJyTf9npxaPl5w , 2lbPtoYE3IkjxafXGqPSow ,          2 , The Bones Of What You Believe (Alternatives & Extras)
    13 , 3CjlHNtplJyTf9npxaPl5w , 7AZwjb564oySoQq4orYuVm ,          2 , The Bones Of What You Believe (Deluxe Edition)
    14 , 3CjlHNtplJyTf9npxaPl5w , 3Vid4I2pEkZT6AGUZjAIiY ,         24 , The Bones Of What You Believe (Special Edition)
    15 , 3CjlHNtplJyTf9npxaPl5w , 03U41p2XNP3oP3REeEDMrQ ,         27 , The Bones Of What You Believe
    16 , 3CjlHNtplJyTf9npxaPl5w , 54IMJ8S0redmP6krSlKZLD ,          3 , The Bones Of What You Believe (Special Edition)
    17 , 3CjlHNtplJyTf9npxaPl5w , 4mJDS3LoUwlQoHwWPA51mP ,          3 , The Bones Of What You Believe
    18 , 3CjlHNtplJyTf9npxaPl5w , 3c1JDmgLbqVAiOcbMxqddk ,         26 , The Bones Of What You Believe
    19 , 3CjlHNtplJyTf9npxaPl5w , 4DjNAsJkZAro2gDzeisQY5 ,          3 , The Bones Of What You Believe
    20 , 7jgZFR40bWjwOrRCOZFB02 , 24Nm4WqbpFrtAsgE5Ba3ab ,         59 , Representing
    21 , 7jgZFR40bWjwOrRCOZFB02 , 0qBjHqlUAambM981Wpuwd5 ,         59 , SoundWaves EP
    22 , 7jgZFR40bWjwOrRCOZFB02 , 06tfjVe3cjac8Z8ZEBfUyF ,         59 , The Harvest
    23 , 7jgZFR40bWjwOrRCOZFB02 , 6wmbkqwaT1z87mPMKxxhfN ,         59 , Tribal Seeds
