,album,duration,explicit,track_number,trackid
0,6TEN694l8ifhIRfknsG8DX,186649,False,1,52Z0D14I2ReQI6KEH9aH38
1,6TEN694l8ifhIRfknsG8DX,237481,False,2,5gPvJIm1lXEKiefB0pFmxs
2,6TEN694l8ifhIRfknsG8DX,265933,False,3,3NgCCVPbOUc250q5Ch3TJu
3,6TEN694l8ifhIRfknsG8DX,231765,False,4,5Z3u3g9VTJIIUlOguL3PCh
4,6TEN694l8ifhIRfknsG8DX,233769,False,5,0ptjIq1XKNYBtfjzXQ3dXE
5,6TEN694l8ifhIRfknsG8DX,219047,False,6,4wO3mKdOppLyYbwPUOF03I
6,6TEN694l8ifhIRfknsG8DX,244189,False,7,5OlsntEhACFHZpB2CoAFxq
7,6TEN694l8ifhIRfknsG8DX,310771,False,8,47VV373EF3SeN5Ee5mJznb
8,6TEN694l8ifhIRfknsG8DX,215696,False,9,3P0zFBwYhlbhqGaDK2EHyC
9,6TEN694l8ifhIRfknsG8DX,188704,False,10,29XCsynjV5tSzBtsVg871Y
10,6TEN694l8ifhIRfknsG8DX,194321,False,11,7mbxuUrelaYYu7l0jjiMgx
11,1icGjif3DwL3PGKrKfuYh1,186649,False,1,4KdGz4C6fZoLyP93QmBaxZ
12,1icGjif3DwL3PGKrKfuYh1,237481,False,2,01DidSmPasiXdPhDVuaULL
13,1icGjif3DwL3PGKrKfuYh1,265933,False,3,20GiNYO3NzOqBq9i8k8l9S
14,1icGjif3DwL3PGKrKfuYh1,231765,False,4,2gNl0X09EFvqTurPXIhQsI
15,1icGjif3DwL3PGKrKfuYh1,233769,False,5,3aUfWeMesfVs2niopKjNxV
16,1icGjif3DwL3PGKrKfuYh1,219047,False,6,56UJACMXb24lALwYyVNokb
17,1icGjif3DwL3PGKrKfuYh1,244189,False,7,6UOz04P0ctHzpMmyvqkGqA
18,1icGjif3DwL3PGKrKfuYh1,310771,False,8,49j4fyp5Wra73nv6zp5RG3
19,1icGjif3DwL3PGKrKfuYh1,215696,False,9,0ECmt9zUOF4D7sDMwCDmYF
20,1icGjif3DwL3PGKrKfuYh1,188704,False,10,5aCImDeFaWVZB4BFfadf0c
